DATETIME,blob_sent,Open,High,Low,Close,Volume,,,,
2015-05-19 22:59,3.70E-17,233.04,234.15,231.82,231.95,14241900,,,,
2015-05-22 11:04,0,235.32,240.97,235.06,240.35,27003000,,,,
2015-05-22 11:04,0,235.32,240.97,235.06,240.35,27003000,,-1,3861,Negative
2015-05-23 17:40,-0.7,240.29,241.02,238.69,238.87,14605000,,0,16160,Neutral
2015-05-26 0:36,0,237.1,238.24,235.69,237.12,16425000,,1,12896,Positive
2015-06-01 18:14,0.16,230.23,231.71,221.3,222.93,26090500,,,,
2015-06-08 19:47,0,222.88,229.46,222.84,228.49,23378400,,,,
2015-06-15 12:20,-0.8,233.42,237.84,233.42,236.82,19912100,,,,
2015-06-19 15:46,0.2,249.04,250.98,243.79,244.61,23965300,,,,
2015-06-23 14:03,0,246.93,247.3,243.13,244.3,15108700,,,,
2015-07-01 18:24,0.0875,263.35,265.17,255.77,258.62,27029800,,,,
2015-07-03 23:01,0,255.46,257.08,253.51,256.34,19033800,,,,
2015-07-07 18:53,0,269.96,271.34,264.83,266.21,28857600,,,,
2015-07-08 14:29,0.03125,265.98,272.97,264.39,270.79,36980200,,,,
2015-07-16 9:08,-0.5,286.04,291.18,275.24,278.09,49482600,,,,
2015-07-26 0:54,-0.083333333,288.64,293.05,287.71,292.69,16032300,,,,
2015-08-03 1:21,0,282.81,285.47,280.23,281.23,21474100,,,,
2015-08-09 16:57,0,261.12,267,260.47,265.08,23789600,,,,
2015-08-11 12:54,0,264.34,270.39,264.09,270.39,25433900,,,,
2015-08-22 23:52,0.142857143,232.66,234.96,222.7,230.39,23205900,,,,
2015-08-26 4:37,0,222.08,231.18,220.2,225.83,31808000,,,,
2015-09-02 13:21,0.214285714,228.03,230.58,226.48,229.28,18760400,,,,
2015-09-09 18:22,0,243.41,244.42,237.82,238.17,23635700,,,,
2015-09-17 20:56,0,229.08,230.29,228.93,229.81,18935400,,,,
2015-09-21 21:22,0,231.22,231.22,226.52,227.09,19678800,,,,
2015-09-24 22:04,0.616666667,230.36,235.65,230.29,234.53,25097800,,,,
2015-09-30 4:59,0,236.64,237.73,235.63,236.06,19743500,,,,
2015-10-04 23:28,0,238.53,238.97,237.94,238.26,12999000,,,,
2015-10-08 2:22,0.133333333,243.07,244.25,242.18,242.3,18515300,,,,
2015-10-08 6:27,0.433333333,243.07,244.25,242.18,242.3,18515300,,,,
2015-10-09 20:33,0,242.5,244.23,242.12,243.93,17353100,,,,
2015-10-14 18:39,0.6,249.49,254.27,248.9,251.99,27462600,,,,
2015-10-15 5:49,0.2,252.11,255.96,252.05,254.32,25223500,,,,
2015-10-15 12:46,0.2,252.11,255.96,252.05,254.32,25223500,,,,
2015-10-17 8:44,-0.1875,262.75,273.58,262.37,270.64,43199600,,,,
2015-10-19 23:58,0.433333333,261.86,264.82,260.95,263.44,25258800,,,,
2015-10-23 23:57,0,273.65,278.68,273.54,276.5,29442500,,,,
2015-10-25 8:29,0.35,281.45,294.06,281.45,283.68,45717100,,,,
2015-10-27 20:31,0,285.18,296.21,285.01,293.79,46331800,,,,
2015-10-29 6:30,0,304.32,318.17,301.82,313.86,64495900,,,,
2015-10-29 17:01,0,304.32,318.17,301.82,313.86,64495900,,,,
2015-10-29 23:04,0.1,304.32,318.17,301.82,313.86,64495900,,,,
2015-10-29 23:04,0.1,304.32,318.17,301.82,313.86,64495900,,,,
2015-10-30 1:14,0,313.94,334.17,313.94,328.02,78305000,,,,
2015-10-30 10:49,0.25,313.94,334.17,313.94,328.02,78305000,,,,
2015-10-31 1:45,0,328.51,332.78,309.25,314.17,48598100,,,,
2015-10-31 7:06,0.1,328.51,332.78,309.25,314.17,48598100,,,,
2015-10-31 7:06,0.1,328.51,332.78,309.25,314.17,48598100,,,,
2015-10-31 14:18,0,328.51,332.78,309.25,314.17,48598100,,,,
2015-11-01 13:36,0,315.01,327.47,311.88,325.43,37001100,,,,
2015-11-01 19:00,0,315.01,327.47,311.88,325.43,37001100,,,,
2015-11-02 20:08,0,325.94,365.36,323.21,361.19,101918000,,,,
2015-11-03 0:45,0,361.87,417.9,357.65,403.42,206162000,,,,
2015-11-03 0:51,0,361.87,417.9,357.65,403.42,206162000,,,,
2015-11-03 3:21,0,361.87,417.9,357.65,403.42,206162000,,,,
2015-11-03 10:18,0,361.87,417.9,357.65,403.42,206162000,,,,
2015-11-03 15:45,0,361.87,417.9,357.65,403.42,206162000,,,,
2015-11-08 11:30,0,384.28,389.89,368.7,373.37,51817600,,,,
2015-11-13 21:01,0.2,338.5,340.91,326.08,336.75,52003000,,,,
2015-11-13 21:01,0.2,338.5,340.91,326.08,336.75,52003000,,,,
2015-11-13 21:15,0,338.5,340.91,326.08,336.75,52003000,,,,
2015-11-13 21:15,0,338.5,340.91,326.08,336.75,52003000,,,,
2015-11-15 19:10,0,333.05,334.66,317.49,320.17,44213100,,,,
2015-11-17 5:23,0,330.36,338.35,329.61,335.09,51001600,,,,
2015-11-18 0:15,-0.5,334.59,336.53,330.64,334.59,43783800,,,,
2015-11-18 13:35,0,334.59,336.53,330.64,334.59,43783800,,,,
2015-11-19 7:44,-0.45,334.68,335.33,325.27,326.15,45011100,,,,
2015-11-19 15:58,0,334.68,335.33,325.27,326.15,45011100,,,,
2015-11-20 14:52,0.125,326.41,326.47,312.22,322.02,53152900,,,,
2015-11-20 23:28,0,326.41,326.47,312.22,322.02,53152900,,,,
2015-11-21 1:13,0.125,322.09,328.16,319.6,326.93,28200500,,,,
2015-11-21 18:35,0,322.09,328.16,319.6,326.93,28200500,,,,
2015-11-21 18:35,0,322.09,328.16,319.6,326.93,28200500,,,,
2015-11-22 23:13,0,326.98,327.01,321.26,324.54,23439400,,,,
2015-11-28 12:40,0,357.14,359.54,352.17,357.38,36816600,,,,
2015-11-28 16:41,0,357.14,359.54,352.17,357.38,36816600,,,,
2015-11-29 5:05,0.3,357.47,371.94,355.67,371.29,40409300,,,,
2015-11-29 5:05,0.3,357.47,371.94,355.67,371.29,40409300,,,,
2015-12-07 18:42,0.111111111,389.98,399.97,385.41,395.54,63455800,,,,
2015-12-08 12:47,-0.5,395.75,415.56,389.95,415.56,57801400,,,,
2015-12-10 12:23,0,417.99,419.51,411.55,415.48,52138900,,,,
2015-12-10 22:15,0,417.99,419.51,411.55,415.48,52138900,,,,
2015-12-15 23:52,-0.1,443.88,465.32,443.88,465.32,83121104,,,,
2015-12-16 3:19,0,465.21,465.21,443.85,454.93,107944000,,,,
2015-12-16 3:19,0,465.21,465.21,443.85,454.93,107944000,,,,
2015-12-16 5:05,-0.1,465.21,465.21,443.85,454.93,107944000,,,,
2015-12-16 21:40,0,465.21,465.21,443.85,454.93,107944000,,,,
2015-12-25 6:03,-0.2,454.86,458.3,452.08,455.65,39078500,,,,
2015-12-25 6:03,-0.2,454.86,458.3,452.08,455.65,39078500,,,,
2015-12-28 3:59,-0.333333333,423.34,429.77,418.48,422.28,49638600,,,,
2016-01-02 15:37,0,434.62,436.06,431.87,433.44,30096600,,,,
2016-01-04 4:26,0.466666667,430.06,434.52,429.08,433.09,38477500,,,,
2016-01-06 15:32,-0.375,431.86,431.86,426.34,429.11,34042500,,,,
2016-01-06 17:39,-0.25,431.86,431.86,426.34,429.11,34042500,,,,
2016-01-07 5:33,0,430.01,458.77,429.08,458.05,87562200,,,,
2016-01-10 1:39,0,448.24,448.31,440.35,447.99,35995900,,,,
2016-01-12 17:07,0,448.18,448.18,435.69,435.69,115607000,,,,
2016-01-14 21:56,0,432.29,433.32,427.85,430.31,43945500,,,,
2016-01-14 21:59,0.6,432.29,433.32,427.85,430.31,43945500,,,,
2016-01-15 9:20,0,430.26,430.26,364.33,364.33,153351008,,,,
2016-01-15 14:15,0.7,430.26,430.26,364.33,364.33,153351008,,,,
2016-01-15 21:32,0,430.26,430.26,364.33,364.33,153351008,,,,
2016-01-17 10:00,0,387.15,390.96,380.09,382.3,45319600,,,,
2016-01-18 3:43,0,381.73,388.1,376.67,387.17,54403900,,,,
2016-01-20 17:05,0,379.74,425.27,376.6,420.23,121720000,,,,
2016-01-24 23:16,-0.033333333,388.1,405.48,387.51,402.97,54824800,,,,
2016-01-29 0:57,0.2,380.11,384.38,365.45,379.47,86125296,,,,
2016-02-04 4:59,0,370.17,391.61,369.99,389.59,69285504,,,,
2016-02-15 11:36,0.25,407.57,410.38,397.75,400.18,74070496,,,,
2016-02-16 18:57,0,401.43,408.95,401.43,407.49,73093104,,,,
2016-02-16 18:57,0,401.43,408.95,401.43,407.49,73093104,,,,
2016-02-17 16:06,0,407.66,421.17,406.78,416.32,83193600,,,,
2016-02-18 21:25,0.136363636,416.57,426,415.64,422.37,76752600,,,,
2016-02-20 13:30,0,421.6,441.98,421.6,437.16,93992096,,,,
2016-02-20 21:12,0.433333333,421.6,441.98,421.6,437.16,93992096,,,,
2016-02-20 22:53,0,421.6,441.98,421.6,437.16,93992096,,,,
2016-02-22 14:17,0,438.99,439.05,432.92,437.75,85385200,,,,
2016-02-24 18:10,0,420.96,425.55,413.91,424.95,67743696,,,,
2016-02-26 0:42,0,424.63,432.15,421.62,432.15,61486000,,,,
2016-03-01 19:48,0.8,437.92,439.65,432.32,435.12,74895800,,,,
2016-03-07 18:28,0.136363636,407.76,415.92,406.31,414.32,85762400,,,,
2016-03-11 21:52,0.3,417.24,423.93,417.01,421.69,73969696,,,,
2016-03-12 3:40,0,421.61,421.8,410.09,411.62,92712896,,,,
2016-03-12 15:55,0,421.61,421.8,410.09,411.62,92712896,,,,
2016-03-12 17:11,0,421.61,421.8,410.09,411.62,92712896,,,,
